date,value
2025-01-15,3.41
2025-01-16,3.34
2025-01-17,3.3
2025-01-20,3.28
2025-01-21,3.25
2025-01-22,3.3
2025-01-23,3.32
2025-01-24,3.28
2025-01-27,3.19
2025-01-28,3.2
2025-01-29,3.18
2025-01-30,3.11
2025-01-31,3.07
2025-02-03,2.96
2025-02-04,3.0
2025-02-05,2.95
2025-02-06,2.96
2025-02-07,3.07
2025-02-10,3.06
2025-02-11,3.1
2025-02-12,3.18
2025-02-13,3.1
2025-02-14,3.09
2025-02-18,3.19
2025-02-19,3.18
2025-02-20,3.22
2025-02-21,3.1
2025-02-24,3.07
2025-02-25,2.99
2025-02-26,2.98
2025-02-27,2.97
2025-02-28,2.9
2025-03-03,2.81
2025-03-04,2.85
2025-03-05,2.95
2025-03-06,3.07
2025-03-07,3.03
2025-03-10,2.98
2025-03-11,3.01
2025-03-12,3.07
2025-03-13,3.04
2025-03-14,3.06
2025-03-17,3.02
2025-03-18,3.02
2025-03-19,2.99
2025-03-20,3.0
2025-03-21,3.0
2025-03-24,3.06
2025-03-25,3.06
2025-03-26,3.12
2025-03-27,3.09
2025-03-28,3.02
2025-03-31,2.97
2025-04-01,2.92
2025-04-02,2.94
2025-04-03,2.94
2025-04-04,2.89
2025-04-07,3.04
2025-04-08,3.1
2025-04-09,3.18
2025-04-10,3.22
2025-04-11,3.26
2025-04-14,3.12
2025-04-15,3.11
2025-04-16,3.08
2025-04-17,3.13
2025-04-21,3.23
2025-04-22,3.19
2025-04-23,3.23
2025-04-24,3.18
2025-04-25,3.17
2025-04-28,3.16
2025-04-29,3.12
2025-04-30,3.07
2025-05-01,3.1
2025-05-02,3.18
2025-05-05,3.17
2025-05-06,3.15
2025-05-07,3.1
2025-05-08,3.2
2025-05-09,3.15
2025-05-12,3.2
2025-05-13,3.22
2025-05-14,3.25
2025-05-15,3.16
2025-05-16,3.17
2025-05-20,3.29
2025-05-21,3.39
2025-05-22,3.36
2025-05-23,3.34
2025-05-26,3.32
2025-05-27,3.25
2025-05-28,3.24
2025-05-29,3.21
2025-05-30,3.2
2025-06-02,3.23
2025-06-03,3.27
2025-06-04,3.23
2025-06-05,3.25
2025-06-06,3.34
2025-06-09,3.36
2025-06-10,3.34
2025-06-11,3.34
2025-06-12,3.33
2025-06-13,3.37
2025-06-16,3.4
2025-06-17,3.37
2025-06-18,3.33
2025-06-19,3.33
2025-06-20,3.3
2025-06-23,3.27
2025-06-24,3.26
2025-06-25,3.32
2025-06-26,3.33
2025-06-27,3.31
2025-07-02,3.36
2025-07-03,3.38
2025-07-04,3.35
2025-07-07,3.4
2025-07-08,3.43
2025-07-09,3.37
2025-07-10,3.4
2025-07-11,3.5
2025-07-14,3.51
2025-07-15,3.6
2025-07-16,3.57
2025-07-17,3.57
2025-07-18,3.57
2025-07-21,3.51
2025-07-22,3.5
2025-07-23,3.56
2025-07-24,3.55
2025-07-25,3.52
2025-07-28,3.52
2025-07-29,3.47
2025-07-30,3.48
2025-07-31,3.45
2025-08-01,3.38
2025-08-05,3.38
2025-08-06,3.39
2025-08-07,3.39
2025-08-08,3.38
2025-08-11,3.39
2025-08-12,3.43
2025-08-13,3.39
2025-08-14,3.41
2025-08-15,3.46
2025-08-18,3.49
2025-08-19,3.44
2025-08-20,3.44
2025-08-21,3.48
2025-08-22,3.43
2025-08-25,3.47
2025-08-26,3.45
2025-08-27,3.45
2025-08-28,3.42
2025-08-29,3.38
2025-09-02,3.44
2025-09-03,3.39
2025-09-04,3.35
2025-09-05,3.27
2025-09-08,3.21
2025-09-09,3.22
2025-09-10,3.17
2025-09-11,3.16
2025-09-12,3.18
2025-09-15,3.17
2025-09-16,3.16
2025-09-17,3.18
2025-09-18,3.19
2025-09-19,3.2
2025-09-22,3.19
2025-09-23,3.19
2025-09-24,3.2
2025-09-25,3.22
2025-09-26,3.23
2025-09-29,3.17
2025-10-01,3.19
2025-10-02,3.18
2025-10-03,3.19
2025-10-06,3.21
2025-10-07,3.19
2025-10-08,3.19
2025-10-09,3.2
2025-10-10,3.18
2025-10-14,3.14
2025-10-15,3.12
2025-10-16,3.08
2025-10-17,3.09
2025-10-20,3.05
2025-10-21,3.08
2025-10-22,3.07
2025-10-23,3.09
2025-10-24,3.08
2025-10-27,3.05
2025-10-28,3.04
2025-10-29,3.15
2025-10-30,3.13
2025-10-31,3.12
2025-11-03,3.15
2025-11-04,3.15
2025-11-05,3.16
2025-11-06,3.1
2025-11-07,3.17
2025-11-10,3.17
2025-11-12,3.14
2025-11-13,3.18
2025-11-14,3.22
2025-11-17,3.23
2025-11-18,3.25
2025-11-19,3.25
2025-11-20,3.22
2025-11-21,3.2
2025-11-24,3.18
2025-11-25,3.15
2025-11-26,3.13
2025-11-27,3.12
2025-11-28,3.14
2025-12-01,3.24
2025-12-02,3.24
2025-12-03,3.22
2025-12-04,3.26
2025-12-05,3.42
2025-12-08,3.42
2025-12-09,3.46
2025-12-10,3.42
2025-12-11,3.42
2025-12-12,3.44
2025-12-15,3.41
2025-12-16,3.4
2025-12-17,3.42
2025-12-18,3.4
2025-12-19,3.47
2025-12-22,3.46
2025-12-23,3.42
2025-12-24,3.4
2025-12-29,3.39
2025-12-30,3.41
2025-12-31,3.42
2026-01-02,3.47
2026-01-05,3.42
2026-01-06,3.43
2026-01-07,3.39
2026-01-08,3.4
2026-01-09,3.38
2026-01-12,3.4
2026-01-13,3.41
2026-01-14,3.36
2026-01-15,3.35
2026-01-16,3.37
2026-01-19,3.39
2026-01-20,3.42
2026-01-21,3.42
2026-01-22,3.4
2026-01-23,3.41
2026-01-26,3.37
2026-01-27,3.41
2026-01-28,3.42
2026-01-29,3.41
2026-01-30,3.42
2026-02-02,3.43
2026-02-03,3.44
2026-02-04,3.43
2026-02-05,3.4
2026-02-06,3.4
2026-02-09,3.39
2026-02-10,3.36
2026-02-11,3.34
2026-02-12,3.28
2026-02-13,3.25
2026-02-17,3.23
2026-02-18,3.23
