date,value
2001-02-01,97.3
2001-03-01,98.4
2001-04-01,98.9
2001-05-01,100.0
2001-06-01,100.3
2001-07-01,99.9
2001-08-01,99.9
2001-09-01,99.6
2001-10-01,99.8
2001-11-01,98.4
2001-12-01,98.9
2002-01-01,99.3
2002-02-01,99.4
2002-03-01,99.4
2002-04-01,99.1
2002-05-01,99.4
2002-06-01,99.3
2002-07-01,99.5
2002-08-01,100.3
2002-09-01,100.7
2002-10-01,101.7
2002-11-01,101.7
2002-12-01,100.1
2003-01-01,102.1
2003-02-01,102.5
2003-03-01,103.2
2003-04-01,102.3
2003-05-01,102.9
2003-06-01,103.4
2003-07-01,103.3
2003-08-01,103.4
2003-09-01,103.6
2003-10-01,103.8
2003-11-01,104.0
2003-12-01,104.4
2004-01-01,104.3
2004-02-01,104.5
2004-03-01,104.6
2004-04-01,105.1
2004-05-01,105.3
2004-06-01,105.7
2004-07-01,106.0
2004-08-01,106.2
2004-09-01,106.5
2004-10-01,107.0
2004-11-01,107.4
2004-12-01,107.4
2005-01-01,107.5
2005-02-01,107.7
2005-03-01,108.1
2005-04-01,108.4
2005-05-01,108.6
2005-06-01,108.8
2005-07-01,109.4
2005-08-01,109.3
2005-09-01,110.0
2005-10-01,110.7
2005-11-01,110.8
2005-12-01,110.5
2006-01-01,111.8
2006-02-01,111.7
2006-03-01,111.9
2006-04-01,112.2
2006-05-01,113.0
2006-06-01,112.8
2006-07-01,113.2
2006-08-01,113.5
2006-09-01,114.0
2006-10-01,114.1
2006-11-01,114.1
2006-12-01,114.6
2007-01-01,114.8
2007-02-01,114.9
2007-03-01,115.4
2007-04-01,116.2
2007-05-01,116.0
2007-06-01,116.8
2007-07-01,117.0
2007-08-01,117.6
2007-09-01,117.8
2007-10-01,118.7
2007-11-01,118.8
2007-12-01,119.2
2008-01-01,119.2
2008-02-01,119.6
2008-03-01,120.1
2008-04-01,121.2
2008-05-01,121.6
2008-06-01,122.3
2008-07-01,123.3
2008-08-01,123.8
2008-09-01,123.1
2008-10-01,123.2
2008-11-01,123.4
2008-12-01,123.4
2009-01-01,123.1
2009-02-01,123.2
2009-03-01,122.6
2009-04-01,121.4
2009-05-01,121.4
2009-06-01,121.3
2009-07-01,120.8
2009-08-01,121.1
2009-09-01,120.9
2009-10-01,121.2
2009-11-01,121.3
2009-12-01,121.3
2010-01-01,121.8
