date,value
2001-02-01,97.8
2001-03-01,96.8
2001-04-01,98.3
2001-05-01,99.6
2001-06-01,98.9
2001-07-01,97.0
2001-08-01,97.3
2001-09-01,98.9
2001-10-01,96.9
2001-11-01,94.4
2001-12-01,93.7
2002-01-01,94.4
2002-02-01,94.8
2002-03-01,97.1
2002-04-01,99.5
2002-05-01,99.7
2002-06-01,99.7
2002-07-01,100.7
2002-08-01,101.9
2002-09-01,101.8
2002-10-01,102.6
2002-11-01,103.6
2002-12-01,104.2
2003-01-01,105.5
2003-02-01,107.1
2003-03-01,107.6
2003-04-01,105.4
2003-05-01,104.0
2003-06-01,103.7
2003-07-01,104.1
2003-08-01,105.9
2003-09-01,105.6
2003-10-01,103.9
2003-11-01,104.8
2003-12-01,104.7
2004-01-01,105.8
2004-02-01,105.5
2004-03-01,106.2
2004-04-01,106.7
2004-05-01,110.2
2004-06-01,109.4
2004-07-01,108.8
2004-08-01,107.6
2004-09-01,106.9
2004-10-01,107.6
2004-11-01,109.1
2004-12-01,108.4
2005-01-01,108.8
2005-02-01,109.3
2005-03-01,110.3
2005-04-01,111.2
2005-05-01,110.9
2005-06-01,111.3
2005-07-01,111.8
2005-08-01,113.9
2005-09-01,116.7
2005-10-01,114.0
2005-11-01,113.2
2005-12-01,113.1
2006-01-01,114.7
2006-02-01,112.7
2006-03-01,114.2
2006-04-01,117.9
2006-05-01,117.8
2006-06-01,117.3
2006-07-01,118.3
2006-08-01,118.0
2006-09-01,112.8
2006-10-01,111.7
2006-11-01,112.7
2006-12-01,114.1
2007-01-01,113.3
2007-02-01,114.2
2007-03-01,117.7
2007-04-01,118.6
2007-05-01,120.7
2007-06-01,119.2
2007-07-01,118.5
2007-08-01,116.3
2007-09-01,116.9
2007-10-01,115.2
2007-11-01,116.7
2007-12-01,117.5
2008-01-01,117.6
2008-02-01,117.0
2008-03-01,117.8
2008-04-01,120.1
2008-05-01,123.6
2008-06-01,125.8
2008-07-01,125.7
2008-08-01,123.1
2008-09-01,122.4
2008-10-01,117.0
2008-11-01,113.2
2008-12-01,110.3
2009-01-01,108.8
2009-02-01,110.2
2009-03-01,110.5
2009-04-01,110.5
2009-05-01,113.5
2009-06-01,116.1
2009-07-01,114.3
2009-08-01,114.8
2009-09-01,113.6
2009-10-01,113.4
2009-11-01,115.4
2009-12-01,115.5
2010-01-01,117.2
2010-02-01,116.7
2010-03-01,117.1
2010-04-01,117.4
2010-05-01,118.1
2010-06-01,117.3
2010-07-01,117.4
2010-08-01,117.1
2010-09-01,117.1
2010-10-01,118.6
2010-11-01,120.7
2010-12-01,121.2
2011-01-01,122.8
2011-02-01,122.6
2011-03-01,124.8
2011-04-01,127.2
2011-05-01,128.9
2011-06-01,125.5
2011-07-01,125.0
2011-08-01,125.3
2011-09-01,126.3
2011-10-01,126.5
2011-11-01,127.6
2011-12-01,125.2
2012-01-01,127.4
2012-02-01,127.8
2012-03-01,129.5
2012-04-01,131.3
2012-05-01,129.9
2012-06-01,127.6
2012-07-01,126.4
2012-08-01,127.5
2012-09-01,128.3
2012-10-01,128.6
2012-11-01,127.3
2012-12-01,125.8
2013-01-01,126.7
2013-02-01,130.3
2013-03-01,129.5
2013-04-01,128.6
2013-05-01,129.2
2013-06-01,130.2
2013-07-01,129.8
2013-08-01,129.2
2013-09-01,129.3
2013-10-01,128.5
2013-11-01,128.0
2013-12-01,128.5
2014-01-01,129.2
2014-02-01,130.8
2014-03-01,131.7
2014-04-01,132.2
2014-05-01,132.7
2014-06-01,133.1
2014-07-01,131.5
2014-08-01,130.8
2014-09-01,130.0
2014-10-01,129.9
2014-11-01,127.7
2014-12-01,124.9
2015-01-01,122.4
2015-02-01,124.3
2015-03-01,126.6
2015-04-01,126.6
2015-05-01,128.0
2015-06-01,129.6
2015-07-01,129.2
2015-08-01,127.8
2015-09-01,125.4
2015-10-01,125.8
2015-11-01,126.3
2015-12-01,125.6
2016-01-01,125.1
2016-02-01,123.7
2016-03-01,125.3
2016-04-01,127.8
2016-05-01,129.4
2016-06-01,131.0
2016-07-01,128.9
2016-08-01,128.2
2016-09-01,128.3
2016-10-01,129.6
2016-11-01,128.1
2016-12-01,129.4
2017-01-01,133.0
2017-02-01,131.9
2017-03-01,131.1
2017-04-01,133.2
2017-05-01,132.3
