date,value
2020-12-01,1372770.0
2021-01-01,1558340.0
2021-02-01,1587790.0
2021-03-01,1493920.0
2021-04-01,1615950.0
2021-05-01,1653980.0
2021-06-01,1611910.0
2021-07-01,1523190.0
2021-08-01,1474860.0
2021-09-01,1303460.0
2021-10-01,767370.0
2021-11-01,718860.0
2021-12-01,659630.0
2022-01-01,674460.0
2022-02-01,584830.0
2022-03-01,543050.0
2022-04-01,523500.0
2022-05-01,506180.0
2022-06-01,496410.0
2022-07-01,496620.0
2022-08-01,477130.0
2022-09-01,454400.0
2022-10-01,435160.0
2022-11-01,414530.0
2022-12-01,403980.0
2023-01-01,393890.0
2023-02-01,393010.0
2023-03-01,398330.0
2023-04-01,403260.0
2023-05-01,411300.0
2023-06-01,427070.0
2023-07-01,435820.0
2023-08-01,452600.0
2023-09-01,456700.0
2023-10-01,461020.0
2023-11-01,466970.0
2023-12-01,470520.0
2024-01-01,476650.0
2024-02-01,471890.0
2024-03-01,475230.0
2024-04-01,462300.0
2024-05-01,473130.0
2024-06-01,479800.0
2024-07-01,489320.0
2024-08-01,494670.0
2024-09-01,486840.0
2024-10-01,489080.0
2024-11-01,487510.0
2024-12-01,487640.0
2025-01-01,489060.0
2025-02-01,501490.0
2025-03-01,504110.0
2025-04-01,526280.0
2025-05-01,528000.0
2025-06-01,547700.0
2025-07-01,555090.0
2025-08-01,555270.0
2025-09-01,554270.0
2025-10-01,557090.0
2025-11-01,565960.0
