date,value
2021-02-01,59.7
2021-03-01,60.4
2021-04-01,59.8
2021-05-01,59.6
2021-06-01,60.4
2021-07-01,60.7
2021-08-01,60.8
2021-09-01,61.3
2021-10-01,61.4
2021-11-01,61.8
2021-12-01,61.9
2022-01-01,61.2
2022-02-01,62.1
2022-03-01,62.1
2022-04-01,62.2
2022-05-01,62.3
2022-06-01,62.1
2022-07-01,62.2
2022-08-01,62.0
2022-09-01,62.0
2022-10-01,62.1
2022-11-01,62.1
2022-12-01,62.3
2023-01-01,62.4
2023-02-01,62.4
2023-03-01,62.5
2023-04-01,62.4
2023-05-01,62.3
2023-06-01,62.3
2023-07-01,62.2
2023-08-01,62.3
2023-09-01,62.2
2023-10-01,62.1
2023-11-01,62.0
2023-12-01,61.9
2024-01-01,61.8
2024-02-01,61.7
2024-03-01,61.6
2024-04-01,61.6
2024-05-01,61.5
2024-06-01,61.3
2024-07-01,61.1
2024-08-01,61.1
2024-09-01,61.0
2024-10-01,60.9
2024-11-01,60.9
2024-12-01,61.1
2025-01-01,61.1
2025-02-01,61.0
2025-03-01,60.9
2025-04-01,60.8
2025-05-01,60.7
2025-06-01,60.9
2025-07-01,60.7
2025-08-01,60.5
2025-09-01,60.6
2025-10-01,60.8
2025-11-01,60.9
2025-12-01,60.9
2026-01-01,60.8
