date,value
2020-12-01,47596.0
2021-01-01,51782.0
2021-02-01,50711.3
2021-03-01,50389.5
2021-04-01,49987.1
2021-05-01,49586.3
2021-06-01,53132.9
2021-07-01,53412.9
2021-08-01,53887.5
2021-09-01,52728.5
2021-10-01,56103.8
2021-11-01,58606.5
2021-12-01,58247.3
2022-01-01,58504.6
2022-02-01,61350.3
2022-03-01,64943.0
2022-04-01,65675.3
2022-05-01,71304.9
2022-06-01,69354.8
2022-07-01,66771.8
2022-08-01,65103.3
2022-09-01,65715.1
2022-10-01,65283.2
2022-11-01,64044.0
2022-12-01,64501.3
2023-01-01,65925.6
2023-02-01,63070.9
2023-03-01,63888.7
2023-04-01,64517.2
2023-05-01,63286.7
2023-06-01,60556.4
2023-07-01,61696.4
2023-08-01,65334.2
2023-09-01,66557.8
2023-10-01,66479.4
2023-11-01,65272.0
2023-12-01,63178.6
2024-01-01,61007.6
2024-02-01,65145.2
2024-03-01,63144.4
2024-04-01,65302.2
2024-05-01,63470.0
2024-06-01,65848.7
2024-07-01,65096.0
2024-08-01,64124.5
2024-09-01,63893.2
2024-10-01,64989.5
2024-11-01,66006.0
2024-12-01,69585.3
2025-01-01,72759.5
2025-02-01,68696.5
2025-03-01,67469.2
2025-04-01,60152.8
2025-05-01,61140.3
2025-06-01,61580.1
2025-07-01,62472.0
2025-08-01,60450.3
2025-09-01,64239.0
2025-10-01,65782.0
2025-11-01,63942.7
