date,value
2016-02-01,97.3
2016-03-01,97.5
2016-04-01,97.7
2016-05-01,98.5
2016-06-01,98.6
2016-07-01,99.0
2016-08-01,99.1
2016-09-01,99.3
2016-10-01,99.7
2016-11-01,99.9
2016-12-01,100.0
2017-01-01,100.1
2017-02-01,100.5
2017-03-01,100.7
2017-04-01,101.5
2017-05-01,102.2
2017-06-01,102.4
2017-07-01,102.8
2017-08-01,102.9
2017-09-01,103.1
2017-10-01,103.2
2017-11-01,103.3
2017-12-01,103.3
2018-01-01,103.3
2018-02-01,103.1
2018-03-01,103.1
2018-04-01,103.1
2018-05-01,103.1
2018-06-01,103.2
2018-07-01,103.3
2018-08-01,103.3
2018-09-01,103.3
2018-10-01,103.3
2018-11-01,103.3
2018-12-01,103.3
2019-01-01,103.2
2019-02-01,103.2
2019-03-01,103.2
2019-04-01,103.2
2019-05-01,103.1
2019-06-01,103.0
2019-07-01,102.9
2019-08-01,103.0
2019-09-01,103.2
2019-10-01,103.3
2019-11-01,103.2
2019-12-01,103.4
2020-01-01,103.4
2020-02-01,103.8
2020-03-01,104.1
2020-04-01,104.1
2020-05-01,104.2
2020-06-01,104.3
2020-07-01,104.7
2020-08-01,105.2
2020-09-01,106.5
2020-10-01,107.3
2020-11-01,107.9
2020-12-01,108.2
2021-01-01,109.0
2021-02-01,111.1
2021-03-01,112.3
2021-04-01,114.4
2021-05-01,116.0
2021-06-01,116.7
2021-07-01,117.2
2021-08-01,118.0
2021-09-01,118.5
2021-10-01,119.6
2021-11-01,120.5
2021-12-01,120.8
2022-01-01,121.9
2022-02-01,123.2
2022-03-01,124.7
2022-04-01,125.1
2022-05-01,125.7
2022-06-01,125.9
2022-07-01,126.0
2022-08-01,126.1
2022-09-01,126.0
2022-10-01,125.7
2022-11-01,125.5
2022-12-01,125.5
2023-01-01,125.2
2023-02-01,124.9
2023-03-01,124.9
2023-04-01,124.8
2023-05-01,124.9
2023-06-01,125.0
2023-07-01,124.9
2023-08-01,125.0
2023-09-01,124.7
2023-10-01,124.7
2023-11-01,124.4
2023-12-01,124.4
2024-01-01,124.3
2024-02-01,124.4
2024-03-01,124.4
2024-04-01,124.7
2024-05-01,124.9
2024-06-01,124.7
2024-07-01,125.0
2024-08-01,125.0
2024-09-01,125.0
2024-10-01,124.5
2024-11-01,124.6
2024-12-01,124.5
2025-01-01,124.4
2025-02-01,124.5
2025-03-01,124.5
2025-04-01,124.0
2025-05-01,123.7
2025-06-01,123.4
2025-07-01,123.3
2025-08-01,122.9
2025-09-01,122.7
2025-10-01,122.2
2025-11-01,122.2
2025-12-01,122.0
2026-01-01,121.5
