date,value
2021-02-01,260.922
2021-03-01,319.843
2021-04-01,272.344
2021-05-01,283.092
2021-06-01,283.769
2021-07-01,274.472
2021-08-01,259.63
2021-09-01,250.714
2021-10-01,236.588
2021-11-01,305.206
2021-12-01,247.179
2022-01-01,229.125
2022-02-01,248.877
2022-03-01,245.69
2022-04-01,262.693
2022-05-01,280.961
2022-06-01,273.565
2022-07-01,277.195
2022-08-01,266.521
2022-09-01,294.615
2022-10-01,261.632
2022-11-01,259.518
2022-12-01,252.115
2023-01-01,205.585
2023-02-01,245.474
2023-03-01,212.635
2023-04-01,259.258
2023-05-01,193.709
2023-06-01,282.657
2023-07-01,253.675
2023-08-01,250.814
2023-09-01,268.451
2023-10-01,270.322
2023-11-01,207.569
2023-12-01,253.86
2024-01-01,228.574
2024-02-01,263.539
2024-03-01,242.514
2024-04-01,240.347
2024-05-01,258.456
2024-06-01,246.101
2024-07-01,276.475
2024-08-01,215.421
2024-09-01,226.91
2024-10-01,243.732
2024-11-01,262.93
2024-12-01,232.639
2025-01-01,233.83
2025-02-01,222.448
2025-03-01,214.494
2025-04-01,281.826
2025-05-01,278.701
2025-06-01,284.165
2025-07-01,293.877
2025-08-01,244.294
2025-09-01,280.669
2025-10-01,230.651
2025-11-01,254.295
2025-12-01,280.668
2026-01-01,238.049
