date,value
2020-12-01,49738.7
2021-01-01,50910.7
2021-02-01,49977.8
2021-03-01,52188.1
2021-04-01,50346.1
2021-05-01,51512.4
2021-06-01,51577.7
2021-07-01,53171.1
2021-08-01,52817.3
2021-09-01,51874.4
2021-10-01,54610.5
2021-11-01,56251.3
2021-12-01,59588.3
2022-01-01,55899.1
2022-02-01,58511.0
2022-03-01,62801.7
2022-04-01,64381.4
2022-05-01,64322.4
2022-06-01,66211.3
2022-07-01,65423.7
2022-08-01,65716.6
2022-09-01,65196.5
2022-10-01,66367.8
2022-11-01,64287.6
2022-12-01,63713.7
2023-01-01,65304.3
2023-02-01,63742.2
2023-03-01,62318.2
2023-04-01,62898.7
2023-05-01,65377.6
2023-06-01,65628.1
2023-07-01,62723.7
2023-08-01,64616.2
2023-09-01,64892.1
2023-10-01,63711.1
2023-11-01,64682.3
2023-12-01,64802.4
2024-01-01,61988.9
2024-02-01,64503.9
2024-03-01,63954.5
2024-04-01,66067.3
2024-05-01,64923.0
2024-06-01,66712.1
2024-07-01,65449.0
2024-08-01,65892.6
2024-09-01,65243.6
2024-10-01,65606.1
2024-11-01,66617.1
2024-12-01,67828.3
2025-01-01,69209.8
2025-02-01,69873.6
2025-03-01,69418.3
2025-04-01,67349.9
2025-05-01,66795.7
2025-06-01,67128.3
2025-07-01,66302.9
2025-08-01,66880.0
2025-09-01,63981.8
2025-10-01,66176.9
2025-11-01,66139.6
