date,value
2021-02-01,65.2
2021-03-01,65.5
2021-04-01,65.1
2021-05-01,65.0
2021-06-01,65.6
2021-07-01,65.6
2021-08-01,65.5
2021-09-01,66.0
2021-10-01,65.6
2021-11-01,65.8
2021-12-01,65.8
2022-01-01,65.4
2022-02-01,65.7
2022-03-01,65.6
2022-04-01,65.7
2022-05-01,65.7
2022-06-01,65.4
2022-07-01,65.3
2022-08-01,65.4
2022-09-01,65.3
2022-10-01,65.5
2022-11-01,65.5
2022-12-01,65.6
2023-01-01,65.8
2023-02-01,65.8
2023-03-01,65.8
2023-04-01,65.7
2023-05-01,65.7
2023-06-01,65.9
2023-07-01,65.8
2023-08-01,65.8
2023-09-01,65.8
2023-10-01,65.9
2023-11-01,65.8
2023-12-01,65.7
2024-01-01,65.5
2024-02-01,65.6
2024-03-01,65.6
2024-04-01,65.6
2024-05-01,65.6
2024-06-01,65.5
2024-07-01,65.3
2024-08-01,65.4
2024-09-01,65.2
2024-10-01,65.2
2024-11-01,65.5
2024-12-01,65.4
2025-01-01,65.5
2025-02-01,65.3
2025-03-01,65.3
2025-04-01,65.3
2025-05-01,65.3
2025-06-01,65.3
2025-07-01,65.2
2025-08-01,65.1
2025-09-01,65.2
2025-10-01,65.2
2025-11-01,65.2
2025-12-01,65.4
2026-01-01,65.0
