date,value
2020-12-01,56372888.0
2021-01-01,55154283.0
2021-02-01,58779113.0
2021-03-01,61768926.0
2021-04-01,58397624.0
2021-05-01,56946809.0
2021-06-01,59653338.0
2021-07-01,60145532.0
2021-08-01,61110133.0
2021-09-01,60843182.0
2021-10-01,61644724.0
2021-11-01,62429330.0
2021-12-01,61334132.0
2022-01-01,62882566.0
2022-02-01,63402675.0
2022-03-01,64105000.0
2022-04-01,64089960.0
2022-05-01,65843669.0
2022-06-01,66820752.0
2022-07-01,64894605.0
2022-08-01,65164336.0
2022-09-01,64851162.0
2022-10-01,65400613.0
2022-11-01,65412899.0
2022-12-01,64679047.0
2023-01-01,66268651.0
2023-02-01,65669032.0
2023-03-01,65347675.0
2023-04-01,65630708.0
2023-05-01,65660274.0
2023-06-01,65996026.0
2023-07-01,65887486.0
2023-08-01,65934227.0
2023-09-01,66582252.0
2023-10-01,66510217.0
2023-11-01,66557715.0
2023-12-01,66324795.0
2024-01-01,66084879.0
2024-02-01,66243688.0
2024-03-01,66158441.0
2024-04-01,66779200.0
2024-05-01,65963312.0
2024-06-01,65892518.0
2024-07-01,66888468.0
2024-08-01,67100242.0
2024-09-01,67513278.0
2024-10-01,68041311.0
2024-11-01,68299018.0
2024-12-01,70026822.0
2025-01-01,69652039.0
2025-02-01,69188841.0
2025-03-01,69797395.0
2025-04-01,70015351.0
2025-05-01,69158296.0
2025-06-01,70139030.0
2025-07-01,69532484.0
2025-08-01,70278925.0
2025-09-01,69756570.0
2025-10-01,69531138.0
2025-11-01,70418921.0
