date,value
2020-12-01,-2142.7
2021-01-01,871.2
2021-02-01,733.5
2021-03-01,-1798.6
2021-04-01,-359.0
2021-05-01,-1926.1
2021-06-01,1555.1
2021-07-01,241.8
2021-08-01,1070.2
2021-09-01,854.1
2021-10-01,1493.3
2021-11-01,2355.2
2021-12-01,-1341.0
2022-01-01,2605.5
2022-02-01,2839.2
2022-03-01,2141.2
2022-04-01,1294.0
2022-05-01,6982.5
2022-06-01,3143.4
2022-07-01,1348.1
2022-08-01,-613.3
2022-09-01,518.6
2022-10-01,-1084.5
2022-11-01,-243.6
2022-12-01,787.6
2023-01-01,621.3
2023-02-01,-671.2
2023-03-01,1570.5
2023-04-01,1618.5
2023-05-01,-2090.9
2023-06-01,-5071.7
2023-07-01,-1027.3
2023-08-01,718.0
2023-09-01,1665.7
2023-10-01,2768.3
2023-11-01,589.7
2023-12-01,-1623.8
2024-01-01,-981.3
2024-02-01,641.3
2024-03-01,-810.1
2024-04-01,-765.1
2024-05-01,-1453.0
2024-06-01,-863.4
2024-07-01,-353.0
2024-08-01,-1768.1
2024-09-01,-1350.4
2024-10-01,-616.7
2024-11-01,-611.1
2024-12-01,1757.0
2025-01-01,3549.7
2025-02-01,-1177.1
2025-03-01,-1949.1
2025-04-01,-7197.1
2025-05-01,-5655.4
2025-06-01,-5548.1
2025-07-01,-3830.9
2025-08-01,-6429.7
2025-09-01,257.1
2025-10-01,-394.9
2025-11-01,-2196.9
