date,value
2020-12-01,1119.62
2021-01-01,1129.9
2021-02-01,1134.87
2021-03-01,1119.16
2021-04-01,1123.46
2021-05-01,1129.86
2021-06-01,1122.24
2021-07-01,1128.11
2021-08-01,1131.64
2021-09-01,1134.61
2021-10-01,1133.72
2021-11-01,1133.19
2021-12-01,1141.44
2022-01-01,1151.88
2022-02-01,1160.17
2022-03-01,1167.6
2022-04-01,1160.44
2022-05-01,1158.91
2022-06-01,1162.04
2022-07-01,1161.98
2022-08-01,1166.09
2022-09-01,1169.63
2022-10-01,1172.82
2022-11-01,1177.87
2022-12-01,1173.68
2023-01-01,1183.86
2023-02-01,1180.92
2023-03-01,1188.16
2023-04-01,1197.48
2023-05-01,1201.56
2023-06-01,1205.74
2023-07-01,1211.99
2023-08-01,1212.2
2023-09-01,1216.02
2023-10-01,1218.48
2023-11-01,1223.83
2023-12-01,1219.19
2024-01-01,1227.18
2024-02-01,1231.65
2024-03-01,1237.47
2024-04-01,1242.41
2024-05-01,1252.05
2024-06-01,1255.15
2024-07-01,1265.97
2024-08-01,1273.8
2024-09-01,1277.47
2024-10-01,1284.22
2024-11-01,1285.64
2024-12-01,1291.17
2025-01-01,1295.73
2025-02-01,1294.91
2025-03-01,1287.74
2025-04-01,1295.29
2025-05-01,1293.24
2025-06-01,1300.24
2025-07-01,1306.77
2025-08-01,1307.87
2025-09-01,1314.87
2025-10-01,1309.95
2025-11-01,1317.16
